QueryNumber;QueryText
00013;['WHAT', 'ARE', 'THE', 'CLINIC', 'OR', 'BIOCHEM', 'FEATUR', 'OF', 'PANCREAT', 'IN', 'CF', 'PATIENT']
00028;['WHAT', 'IS', 'THE', 'INCID', 'OF', 'MALE', 'FERTIL', 'IN', 'CF']
00066;['WHAT', 'ARE', 'THE', 'PATHOLOG', 'FEATUR', 'OF', 'LUNG', 'DISEAS', 'IN', 'CF', 'PATIENT']
00027;['WHAT', 'IS', 'THE', 'CONCORD', 'OF', 'CLINIC', 'OR', 'BIOCHEM', 'MANIFEST', 'OF', 'CF', 'IN', 'SIBL', 'PAIR', 'BOTH', 'OF', 'WHOM', 'HAVE', 'CF']
00017;['WHAT', 'IS', 'THE', 'MOST', 'EFFECT', 'REGIMEN', 'FOR', 'THE', 'USE', 'OF', 'PANCREAT', 'ENZYM', 'SUPPLEMENT', 'IN', 'THE', 'TREATMENT', 'OF', 'CF', 'PATIENT']
00012;['WHAT', 'ABNORM', 'OF', 'AMINO', 'ACID', 'TRANSPORT', 'HAVE', 'BEEN', 'DESCRIB', 'IN', 'THE', 'SMALL', 'BOWEL', 'OF', 'CF', 'PATIENT']
00058;['WHAT', 'IS', 'THE', 'IMMUNOLOG', 'RESPONS', 'TO', 'PULMONARI', 'INFECT', 'IN', 'CF', 'PATIENT']
00075;['WHAT', 'IS', 'THE', 'BEST', 'TREATMENT', 'FOR', 'PULMONARI', 'HYPERTENS', 'AND/OR', 'COR', 'PULMONAL', 'IN', 'CF', 'PATIENT']
00031;['WHAT', 'ARE', 'THE', 'MAJOR', 'PSYCHOLOG', 'OR', 'SOCIAL', 'EFFECT', 'OF', 'CF', 'ON', 'PATIENT', 'AND', 'THEIR', 'FAMILI']
00038;['CAN', 'CF', 'BE', 'DIAGNOS', 'PRENAT']
00023;['WHAT', 'CONGENIT', 'OR', 'HEREDITARI', 'DISEAS', 'OR', 'CONDIT', 'HAVE', 'BEEN', 'FOUND', 'IN', 'ASSOCI', 'WITH', 'CF']
00051;['WHAT', 'CIRCUL', 'OR', 'SECRET', 'FACTOR', 'HAVE', 'BEEN', 'DESCRIB', 'IN', 'CF', 'PATIENT', 'FACTOR', 'ARE', 'UNIDENTIFI', 'BIOLOG', 'ACTIV', 'MOLECUL', 'THOUGHT', 'TO', 'PLAY', 'SOME', 'PATHOGENET', 'ROLE', 'IN', 'CYSTIC', 'FIBROSI']
00015;['WHAT', 'ARE', 'THE', 'HEPAT', 'COMPLIC', 'OR', 'MANIFEST', 'OF', 'CF']
00070;['WHAT', 'IS', 'THE', 'TREATMENT', 'FOR', 'AND', 'PROGNOSI', 'OF', 'HEMOPTYSI', 'IN', 'CF', 'PATIENT']
00096;['IS', 'THERE', 'AN', 'INCREAS', 'INCID', 'OF', 'DENTAL', 'PROBLEM', 'EG', 'CARI', 'OR', 'PERIODONT', 'DISEAS', 'IN', 'CF', 'PATIENT']
00092;['WHAT', 'IS', 'THE', 'PROGNOSI', 'FOR', 'SURVIV', 'OF', 'PATIENT', 'WITH', 'CF']
00026;['WHAT', 'IS', 'THE', 'HETEROZYGOT', 'ADVANTAG', 'IN', 'CF']
00077;['WHAT', 'TECHNIQU', 'ARE', 'EFFECT', 'IN', 'PROMOT', 'CLEARANC', 'OF', 'MUCU', 'FROM', 'THE', 'LUNG', 'OF', 'CF', 'PATIENT']
00039;['HOW', 'MAY', 'HETEROZYGOT', 'FOR', 'CF', 'BE', 'IDENTIFI']
00037;['WHAT', 'TECHNIQU', 'ARE', 'AVAIL', 'FOR', 'SCREEN', 'OF', 'NEWBORN', 'INFANT', 'FOR', 'CF', 'AND', 'WHAT', 'FACTOR', 'CONTRIBUT', 'TO', 'ERRON', 'RESULT', 'OF', 'THESE', 'TEST']
00041;['IS', 'VITAMIN', 'D', 'METABOL', 'NORMAL', 'IN', 'CF', 'PATIENT']
